title,product_url,brand,price,rating,review_count,shipping
"WD_BLACK 2TB SN8100 NVMe SSD Internal Solid State Drive - Gen 5 PCIe 5.0x4, M.2 2280, Seq. Read Speeds Up to 14,900 MB/s, Best for AI Applications, Gaming, and Video Editing - WDS200T1X0M",https://www.newegg.com/western-digital-2tb-nvme/p/N82E16820250279,SanDisk,249.99,4.8,25.0,Free Shipping
Samsung Electronics 870 EVO 2TB 2.5 Inch SATA III Internal SSD (MZ-77E2T0B/AM),https://www.newegg.com/samsung-2tb-870-evo-series-sata/p/N82E16820147794,SAMSUNG,219.99,4.7,1506.0,Free Shipping
"Crucial BX500 2TB 3D NAND SATA 2.5-Inch Internal SSD, up to 540 MB/s - CT2000BX500SSD1",https://www.newegg.com/crucial-2tb-bx500-sata/p/N82E16820156232,Crucial,189.99,4.6,748.0,Free Shipping
"WD_BLACK 2TB SN850X NVMe Internal Gaming SSD Solid State Drive - Gen4 PCIe, M.2 2280, Up to 7,300 MB/s - WDS200T2X0E",https://www.newegg.com/western-digital-2tb-black-sn850x-nvme/p/N82E16820250247,SanDisk,199.0,4.8,1213.0,Free Shipping
"ONEBOOM X500 2TB 2280 SSD M.2 NVMe PCIe5.0, UP to 14000MB/s, Internal solid state disk, 3D NAND",https://www.newegg.com/oneboom-2tb-x500/p/0D9-010Y-00010?Item=9SIC05YKFY9383&cm_sp=SP-_-2949800-_-0-_-0-_-9SIC05YKFY9383-_-2tb ssd-_-2tb|ssd-_-5,ONEBOOM,299.99,5.0,1.0,Free Shipping
"KingSpec P3 SSD 2TB Internal 2.5"" Solid State Drive 2.5 Inch SATA III 3D NAND Flash Data Storage, Speed up to 560MB/s, laptop PC Desktop compatible, Black",https://www.newegg.com/kingspec-4tb-2-5-sata/p/0D9-000D-00158?Item=9SIB1V8JM85135&cm_sp=SP-_-2584652-_-0-_-2-_-9SIB1V8JM85135-_-2tb ssd-_-2tb|ssd-_-6,KingSpec,199.99,3.2,176.0,Free Shipping
"WD_BLACK 2TB SN850X NVMe Internal Gaming SSD Solid State Drive with Heatsink - Works with Playstation 5, Gen4 PCIe, M.2 2280, Up to 7,300 MB/s - WDS200T2XHE",https://www.newegg.com/western-digital-2tb-black-sn850x-nvme/p/N82E16820250246,SanDisk,249.99,4.8,1213.0,Free Shipping
WD_BLACK SN7100 M.2 2280 2TB PCI-Express 4.0 x4 TLC 3D NAND Internal Solid State Drive (SSD) WDS200T4X0E,https://www.newegg.com/western-digital-2tb-sn7100-nvme/p/N82E16820250275,SanDisk,209.99,5.0,18.0,Free Shipping
KingSpec XG 7000 2TB M.2 2280 PCIe Gen 4.0x4 NVME 1.4 Speed up to 7400MB/s Write Speed Up to 6600MB/s Internal Solid State Drive for PS5 PC Desktop Laptop Game-Player Non-Heatsink,https://www.newegg.com/kingspec-2tb-xg-7000-series/p/0D9-000D-00172?Item=9SIB1V8JVN5929&cm_sp=SP-_-2120062-_-0-_-0-_-9SIB1V8JVN5929-_-2tb ssd-_-2tb|ssd-_-9,KingSpec,199.99,4.1,221.0,Free Shipping
KingSpec SSD 2TB Internal Solid State Drive M.2 NVMe 2280 PCIe  3.0X4 Computer Disk Data Storage NAND Flash Hard Drives PC Desktop Laptop Ultrabook Upgrade for CoRe Ryzen Motherboard,https://www.newegg.com/kingspec-2tb/p/0D9-000D-00151,KingSpec,199.99,3.8,43.0,Free Shipping
"KingSpec P3 SSD 2TB Internal 2.5"" Solid State Drive 2.5 Inch SATA III 3D NAND Flash Data Storage, Speed up to 560MB/s, laptop PC Desktop compatible, Black",https://www.newegg.com/kingspec-4tb-2-5-sata/p/0D9-000D-00158,KingSpec,199.99,3.2,176.0,Free Shipping
"WD_BLACK 2TB SN850X NVMe Internal Gaming SSD Solid State Drive - Gen4 PCIe, M.2 2280, Up to 7,300 MB/s - WDS200T2X0E",https://www.newegg.com/western-digital-2tb-black-sn850x-nvme/p/N82E16820250247?Item=N82E16820250247&cm_sp=SP-_-3020569-_-0-_-2-_-20-250-247-_-2tb ssd-_-2tb|ssd-_-12,SanDisk,239.99,4.8,1213.0,Free Shipping
"WD Blue SN5100 2TB NVMe SSD, PCIe Gen 4.0, up to 7,100 MB/s read speeds",https://www.newegg.com/sandisk-2tb-wd-blue-nvme/p/N82E16820173681,SanDisk,189.99,5.0,3.0,Free Shipping
